id,product_name,batch_number,manufacturer,alert_date,reason,source_document,extraction_confidence,lab_type,status
7b73beb0-a814-417f-a71a-ea59fce270f6,ParacKind 500,BP3439,Silverline Drugs Pvt. Ltd.,2026-05-22,pH value out of specified range,CDSCO_NSQ_Alert_May_2026__CentralLabs.pdf,medium,central,active
1f7f0017-e1f5-4eba-8322-8014ad5d7276,ParacKind 500,25017959,Silverline Drugs Pvt. Ltd.,2025-06-13,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,medium,state,active
6b2de3f9-7f52-47ea-ae61-2305dc898b35,CholeCip 600,25092748,Girivan Pharmaceuticals Pvt. Ltd.,2025-12-05,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Dec_2025_Maharashtra_StateLabs.pdf,high,state,active
0c5b7258-fb19-48f9-a7fe-410805233510,AtorvHeal 10,LOT26G147,Vishwas Healthcare Pvt. Ltd.,2026-01-29,Uniformity of dosage units failure,CDSCO_NSQ_Alert_Jan_2026__CentralLabs.pdf,high,central,active
61077114-646a-4413-9bce-0a19dd0ca0b8,AtorvPlus 10,25082169,Kalash Biotech Ltd.,2024-12-27,Water content (Karl Fischer) test failure,CDSCO_NSQ_Alert_Dec_2024_WestBengal_StateLabs.pdf,high,state,active
85a851d9-901d-4da9-9050-95354f7c40c0,TelmiZen 40,GL4048,Meridian Formulations Pvt. Ltd.,2025-06-20,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Jun_2025_Kerala_StateLabs.pdf,high,state,active
62076afd-147c-4b15-a809-e68de43851a6,OmeprHeal 20,26017153,Girivan Pharmaceuticals Pvt. Ltd.,2026-01-31,Disintegration test failure,CDSCO_NSQ_Alert_Jan_2026_Telangana_StateLabs.pdf,high,state,active
34e1000a-dfa0-4ae2-a15a-62ba8587d30d,AmbroPro 60,ZN4436,Northstar Remedies Ltd.,2025-09-07,Water content (Karl Fischer) test failure,CDSCO_NSQ_Alert_Sep_2025_Gujarat_StateLabs.pdf,high,state,active
9db7a83d-a6c6-4b80-bfc2-b52c0eb77e6e,LosarRx 50,XW8813,Meridian Formulations Pvt. Ltd.,2025-06-11,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,high,central,active
4eca0288-621f-4592-9c38-0333ab5d0e02,ParacTas 650,LOT24A475,Suraksha Pharmaceuticals Ltd.,2026-06-23,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jun_2026_WestBengal_StateLabs.pdf,high,state,active
6a447dbe-956b-4352-ba56-24e2515a2e45,TelmiGen 40,JM0508,Vishwas Healthcare Pvt. Ltd.,2026-03-23,Uniformity of dosage units failure,CDSCO_NSQ_Alert_Mar_2026_TamilNadu_StateLabs.pdf,high,state,active
d26c158d-7855-409c-9294-6ea310434b50,MetfoGen 500,25106969,Suraksha Pharmaceuticals Ltd.,2025-11-18,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_Nov_2025_Karnataka_StateLabs.pdf,high,state,active
ec7945d0-cc88-476e-84d6-c0af8262f808,CiproCure 500,25068088,Bhoomi Remedies Pvt. Ltd.,2025-03-17,Content uniformity test failure,CDSCO_NSQ_Alert_Mar_2025_MadhyaPradesh_StateLabs.pdf,high,state,active
c8b817ea-d740-4df9-b49a-ea326aa46243,IbuprPlus 400,LOT25E194,Kalash Biotech Ltd.,2025-06-22,Loss on drying test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,low,central,active
ba3ad820-0441-48a7-bb99-cbf20242916b,OmeprHeal 20,DK5108,Girivan Pharmaceuticals Pvt. Ltd.,2025-11-21,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Nov_2025__CentralLabs.pdf,medium,central,active
9dcb005e-67f8-4fdd-9cfa-cf20d50c0e94,CholeCip 600,25122088,Girivan Pharmaceuticals Pvt. Ltd.,2025-02-23,pH value out of specified range,CDSCO_NSQ_Alert_Feb_2025_Gujarat_StateLabs.pdf,high,state,active
b245541b-7ac0-43e0-bf8d-fe0c47aa5e6a,MetopGen 25,LOT26G994,Meridian Formulations Pvt. Ltd.,2024-09-28,Friability test failure,CDSCO_NSQ_Alert_Sep_2024_TamilNadu_StateLabs.pdf,medium,state,active
1e0a45c5-587c-4136-a10d-ead13a22e520,OmeprHeal 20,LOT26D648,Girivan Pharmaceuticals Pvt. Ltd.,2024-05-06,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_May_2024_Rajasthan_StateLabs.pdf,low,state,active
733d61f2-b3a0-4482-aa11-8f77a7f66378,MetfoGen 500,KD4252,Suraksha Pharmaceuticals Ltd.,2024-07-02,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jul_2024__CentralLabs.pdf,high,central,active
26218bec-2efe-4c82-a23f-7bab5cc68665,ParacKind 500,LOT25B555,Silverline Drugs Pvt. Ltd.,2025-06-08,pH value out of specified range,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,high,state,active
7c5753ad-3d72-4166-bb25-ed1375bb25cc,CiproCure 500,LOT26D194,Bhoomi Remedies Pvt. Ltd.,2025-06-06,Friability test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,high,central,active
b91674d3-3442-4dbe-a7ba-823cc672846a,OmeprHeal 20,LOT26F807,Girivan Pharmaceuticals Pvt. Ltd.,2026-07-26,Related substances / degradation impurities beyond specified limit,CDSCO_NSQ_Alert_Jul_2026__CentralLabs.pdf,high,central,active
f508fcc2-0d63-422e-aabd-6c59546798a1,AmoxiVita 625,HW4868,Sanjeevani Formulations Pvt. Ltd.,2026-05-10,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_May_2026_Gujarat_StateLabs.pdf,medium,state,active
830ac749-98d7-4189-a4a9-1b0eebcc7082,AmbroPro 60,LOT24G104,Northstar Remedies Ltd.,2025-06-11,Content uniformity test failure,CDSCO_NSQ_Alert_Jun_2025_AndhraPradesh_StateLabs.pdf,high,state,active
a73013f1-77b3-4b87-a800-8630f034e70c,ParacTas 650,DN6000,Suraksha Pharmaceuticals Ltd.,2025-06-23,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,medium,state,active
70a0136b-2c82-4bd5-ab79-397d6fcf3947,RabepWell 20,CB2775,Sanjeevani Formulations Pvt. Ltd.,2025-02-20,Dissolution test failure,CDSCO_NSQ_Alert_Feb_2025_Karnataka_StateLabs.pdf,high,state,active
12776620-7e4b-4d40-a9dd-42cdb81762c2,RabepSafe 20,24079813,Trishakti Healthcare Ltd.,2025-06-01,Related substances / degradation impurities beyond specified limit,CDSCO_NSQ_Alert_Jun_2025_Gujarat_StateLabs.pdf,medium,state,active
4157a194-585b-4c5e-abca-f3c6737fc916,RabepHeal 20,LOT26H731,Amrutha Drugs Ltd.,2025-06-17,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Jun_2025_Punjab_StateLabs.pdf,medium,state,active
a36f3a69-c0e0-4d7b-862e-f8259cbc3870,RabepWell 20,25029358,Sanjeevani Formulations Pvt. Ltd.,2025-06-15,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jun_2025_Maharashtra_StateLabs.pdf,medium,state,active
e3caf6f1-f22b-4f6d-9bb3-b87ff4355877,MetopSafe 25,TM1006,Punarnava Life Sciences Ltd.,2024-10-27,Dissolution test failure,CDSCO_NSQ_Alert_Oct_2024_Haryana_StateLabs.pdf,high,state,active
66c72004-eedb-4181-a117-2fba0380aaea,MetopKind 25,25021440,Nirmala Biotech Pvt. Ltd.,2025-06-29,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Jun_2025_TamilNadu_StateLabs.pdf,high,state,active
d0b28108-8197-453c-a344-b961e4f791e2,ParacKind 500,VT5503,Silverline Drugs Pvt. Ltd.,2025-06-16,Weight variation test failure,CDSCO_NSQ_Alert_Jun_2025_Delhi_StateLabs.pdf,high,state,active
c660604b-d2c8-41e1-b471-eb04b9044b62,CholeCip 600,LOT24D758,Girivan Pharmaceuticals Pvt. Ltd.,2025-07-10,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Jul_2025_Haryana_StateLabs.pdf,high,state,active
f2f4f807-ea89-4c31-956d-79c74375b3de,ParacTas 650,LOT25F116,Suraksha Pharmaceuticals Ltd.,2026-07-22,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jul_2026__CentralLabs.pdf,medium,central,active
7653ed90-af75-45e8-8c8b-af5f33b4d638,LosarRx 50,LOT26C443,Meridian Formulations Pvt. Ltd.,2026-03-28,Dissolution test failure,CDSCO_NSQ_Alert_Mar_2026_UttarPradesh_StateLabs.pdf,high,state,active
438e0de1-0bae-4588-9473-243446a63102,IbuprPlus 400,VH9371,Kalash Biotech Ltd.,2026-03-03,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Mar_2026__CentralLabs.pdf,high,central,active
1136f0b4-eb87-42b7-946f-4d7c77ff6cbb,MetfoGen 500,LOT24D875,Suraksha Pharmaceuticals Ltd.,2025-06-10,Disintegration test failure,CDSCO_NSQ_Alert_Jun_2025_Telangana_StateLabs.pdf,medium,state,active
b8dfcf7c-1c8b-4e66-8954-51eed4b611c1,TelmiZen 40,24088300,Meridian Formulations Pvt. Ltd.,2025-06-03,Disintegration test failure,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,medium,state,active
23f5f28f-735b-433c-be19-e68b449a6f12,DoxycCare 100,LOT25H832,Punarnava Life Sciences Ltd.,2025-06-29,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,medium,state,active
e7354e59-cf6f-450f-b07e-1b7aa6c2ccf8,MetfoGen 500,HC9324,Suraksha Pharmaceuticals Ltd.,2024-08-22,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Aug_2024_TamilNadu_StateLabs.pdf,medium,state,active
b69bdb06-d42e-416d-a8f9-f1a9ccac4aa5,DoxycCare 100,24082290,Punarnava Life Sciences Ltd.,2024-04-10,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Apr_2024__CentralLabs.pdf,medium,central,active
95ae9850-bb5a-4679-b3f9-f93379b5966c,OmeprHeal 20,AG4771,Girivan Pharmaceuticals Pvt. Ltd.,2025-06-04,Friability test failure,CDSCO_NSQ_Alert_Jun_2025_Maharashtra_StateLabs.pdf,low,state,active
06337205-5afe-49b5-9a17-ce338332d5e6,CiproCure 500,LOT25C480,Bhoomi Remedies Pvt. Ltd.,2024-04-02,Weight variation test failure,CDSCO_NSQ_Alert_Apr_2024_Bihar_StateLabs.pdf,high,state,active
da1a948e-6057-4762-86ca-d778a8d72fcb,Amoxicillin + Clavulanic Acid Tablet,LOT24D688,Greenfield Pharma Industries,2024-11-25,Sample declared spurious -- no record of batch at the named manufacturing site,CDSCO_NSQ_Alert_Nov_2024_AndhraPradesh_StateLabs.pdf,high,state,active
6068696a-3594-4d19-aba4-05d2d17acba9,Ofloxacin Tablet,25048830,Suraksha Pharmaceuticals Ltd.,2025-06-25,Sample declared spurious -- fictitious manufacturing licence number,CDSCO_NSQ_Alert_Jun_2025_Rajasthan_StateLabs.pdf,high,state,active
750f50a4-78aa-40d5-9eca-00326c477a86,Paracetamol Tablet,LOT25F773,Suraksha Pharmaceuticals Ltd.,2026-01-22,Sample declared spurious -- no record of batch at the named manufacturing site,CDSCO_NSQ_Alert_Jan_2026_Maharashtra_StateLabs.pdf,low,state,active
5f98c311-fd1e-4ac0-89fe-f9eca9c427fa,Ofloxacin Tablet,LOT24E773,Aadhya Pharma Industries,2026-05-15,Sample declared spurious -- fictitious manufacturing licence number,CDSCO_NSQ_Alert_May_2026_Karnataka_StateLabs.pdf,high,state,active
b3c66ced-e63e-4a5b-a31b-a6bd7845955b,Metformin Hydrochloride Tablet,LOT26G793,Vaidya Labs Pvt. Ltd.,2024-09-05,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Sep_2024__CentralLabs.pdf,high,central,active
6f9c6016-3f20-498b-b9f8-35c4911a887a,Amoxicillin + Clavulanic Acid Tablet,25076912,Bhoomi Remedies Pvt. Ltd.,2024-10-08,Related substances / degradation impurities beyond specified limit,CDSCO_NSQ_Alert_Oct_2024__CentralLabs.pdf,high,central,active
b4db3b36-fd39-49a7-9333-cde7cae7767b,Diclofenac Sodium Tablet,26129040,Everwell Pharmaceuticals Pvt. Ltd.,2026-05-10,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_May_2026_Telangana_StateLabs.pdf,high,state,active
a80b82f2-e1b8-4782-9de0-21609d613d36,Amoxicillin + Clavulanic Acid Tablet,25113222,Greenfield Pharma Industries,2025-06-15,Related substances / degradation impurities beyond specified limit,CDSCO_NSQ_Alert_Jun_2025_Gujarat_StateLabs.pdf,medium,state,active
cb3bc283-54da-4a1f-a34b-f1c2ca45bbb5,Amoxicillin + Clavulanic Acid Tablet,24024071,Bhoomi Remedies Pvt. Ltd.,2025-03-19,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Mar_2025_Kerala_StateLabs.pdf,high,state,active
fdfe3da2-013b-43da-b78b-3f72a8fde8a7,Ciprofloxacin Hydrochloride Tablet,SW3065,Bhoomi Remedies Pvt. Ltd.,2024-07-09,Description does not match approved specification (visual defect),CDSCO_NSQ_Alert_Jul_2024__CentralLabs.pdf,high,central,active
8717a620-dc55-44c8-852a-ac91893a4423,Cetirizine Hydrochloride Tablet,SV7160,Punarnava Life Sciences Ltd.,2025-07-23,Disintegration test failure,CDSCO_NSQ_Alert_Jul_2025_Maharashtra_StateLabs.pdf,medium,state,active
d4f9a2d9-c1be-44b5-b370-f43b73c1d9d0,Cefixime Tablet,LOT26B879,Meridian Formulations Pvt. Ltd.,2025-11-04,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_Nov_2025_WestBengal_StateLabs.pdf,high,state,active
d81104c7-7d1d-42b7-b61d-b625d9688e3f,Cefixime Tablet,RF3063,Suraksha Pharmaceuticals Ltd.,2024-08-12,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Aug_2024__CentralLabs.pdf,medium,central,active
6a8f1d42-b577-4e93-9ba8-b70cf2be4275,Amoxicillin + Clavulanic Acid Tablet,FA2170,Amrutha Drugs Ltd.,2025-06-13,Friability test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,high,central,active
224ef936-aab9-461d-b9eb-fb322bdde12b,Atorvastatin Calcium Tablet,24033753,Meridian Formulations Pvt. Ltd.,2025-06-17,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_Jun_2025_Maharashtra_StateLabs.pdf,high,state,active
32ed65e1-1eb6-4e97-a142-db21c96571d8,Amlodipine Besylate Tablet,LOT25D784,Aadhya Pharma Industries,2024-02-17,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Feb_2024_Maharashtra_StateLabs.pdf,high,state,active
db7835ef-f67f-4f38-bb15-66cf848f8a84,Amoxicillin + Clavulanic Acid Tablet,LOT24D149,Kavach Pharma Industries,2025-09-14,Friability test failure,CDSCO_NSQ_Alert_Sep_2025_TamilNadu_StateLabs.pdf,medium,state,active
0624494f-0487-486b-a91c-94a9cb7fa55d,Ciprofloxacin Hydrochloride Tablet,LOT25C237,Vishwas Healthcare Pvt. Ltd.,2024-05-18,pH value out of specified range,CDSCO_NSQ_Alert_May_2024_Maharashtra_StateLabs.pdf,high,state,active
da91a504-a0f4-46c1-91cd-14c941db4107,Cefixime Tablet,26128355,Girivan Pharmaceuticals Pvt. Ltd.,2024-11-14,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Nov_2024_MadhyaPradesh_StateLabs.pdf,high,state,active
db743784-eb55-4128-bc64-7e19a4cc8c24,Paracetamol Tablet,24124933,Nirmala Biotech Pvt. Ltd.,2024-01-24,Loss on drying test failure,CDSCO_NSQ_Alert_Jan_2024_Karnataka_StateLabs.pdf,high,state,active
ea5479b2-da38-458f-9434-6bb420ef0102,Atorvastatin Calcium Tablet,LOT24C247,Kalash Biotech Ltd.,2026-05-27,Dissolution test failure,CDSCO_NSQ_Alert_May_2026__CentralLabs.pdf,medium,central,active
369be62d-86dd-45d7-ae62-766ff7569bb8,Diclofenac Sodium Tablet,LOT24D776,Vaidya Labs Pvt. Ltd.,2025-04-16,Weight variation test failure,CDSCO_NSQ_Alert_Apr_2025_Maharashtra_StateLabs.pdf,medium,state,active
9e382521-5c0e-414e-9f36-076c5c5a71ab,Atorvastatin Calcium Tablet,LOT24H190,Greenfield Pharma Industries,2025-06-21,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jun_2025_Maharashtra_StateLabs.pdf,high,state,active
cb9a7c64-c116-41f8-b3ac-b43c3c5ed327,Azithromycin Tablet,RD1657,Kavach Pharma Industries,2024-01-15,Uniformity of dosage units failure,CDSCO_NSQ_Alert_Jan_2024__CentralLabs.pdf,high,central,active
45aef1a0-297f-41d1-9259-4ce51cf70296,Cetirizine Hydrochloride Tablet,24032876,Aadhya Pharma Industries,2024-08-04,Disintegration test failure,CDSCO_NSQ_Alert_Aug_2024_Karnataka_StateLabs.pdf,high,state,active
d8ac2712-a502-4b30-967f-fae0b4409a12,Cetirizine Hydrochloride Tablet,LOT26H244,Sanjeevani Formulations Pvt. Ltd.,2026-01-03,Loss on drying test failure,CDSCO_NSQ_Alert_Jan_2026_Karnataka_StateLabs.pdf,high,state,active
e54ac6d0-5bdb-4df2-ba49-17b731c85beb,Amlodipine Besylate Tablet,24099809,Bhoomi Remedies Pvt. Ltd.,2024-06-21,Dissolution test failure,CDSCO_NSQ_Alert_Jun_2024_Bihar_StateLabs.pdf,high,state,active
28c28d50-9f3a-4b5a-8e25-d2cab91b3ab8,Metformin Hydrochloride Tablet,LOT26H745,Punarnava Life Sciences Ltd.,2025-11-02,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Nov_2025__CentralLabs.pdf,high,central,active
a113ad3f-1369-443c-95f7-877d94595622,Pantoprazole Tablet,LOT26E483,Vaidya Labs Pvt. Ltd.,2025-06-05,Disintegration test failure,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,high,state,active
6c8e281a-bf02-4564-8bd5-4791439a68ac,Cetirizine Hydrochloride Tablet,26054051,Punarnava Life Sciences Ltd.,2025-03-10,Disintegration test failure,CDSCO_NSQ_Alert_Mar_2025_Rajasthan_StateLabs.pdf,medium,state,active
70efa5ce-8f03-45a2-a3c0-61a86832fd83,Ofloxacin Tablet,26092576,Northstar Remedies Ltd.,2025-06-24,Dissolution test failure,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,high,state,active
1c85ac05-fccf-488b-8f57-d78dd20bf069,Cetirizine Hydrochloride Tablet,LOT26E197,Girivan Pharmaceuticals Pvt. Ltd.,2025-10-10,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_Oct_2025_Gujarat_StateLabs.pdf,high,state,active
d64e796a-7cbc-4de1-94bd-b5d2ba0ae936,Atorvastatin Calcium Tablet,LOT25H674,Punarnava Life Sciences Ltd.,2025-06-06,Friability test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,high,central,active
6d669385-5b6c-4242-b8d0-dc7d43f8e126,Ofloxacin Tablet,25066841,Silverline Drugs Pvt. Ltd.,2026-02-13,Disintegration test failure,CDSCO_NSQ_Alert_Feb_2026__CentralLabs.pdf,high,central,active
b2858de7-0e1c-4189-b7bc-4177e42c2364,Metformin Hydrochloride Tablet,QY3377,Trishakti Healthcare Ltd.,2024-07-30,pH value out of specified range,CDSCO_NSQ_Alert_Jul_2024_WestBengal_StateLabs.pdf,medium,state,active
ae032641-cca8-4366-ada3-aaa3182130ff,Amoxicillin + Clavulanic Acid Tablet,YN3642,Trishakti Healthcare Ltd.,2026-01-09,pH value out of specified range,CDSCO_NSQ_Alert_Jan_2026_WestBengal_StateLabs.pdf,medium,state,active
cee6d3b0-ae81-4be4-9958-7026d22eda69,Amlodipine Besylate Tablet,26079550,Girivan Pharmaceuticals Pvt. Ltd.,2026-02-23,Assay (content of active ingredient) out of specified limits,CDSCO_NSQ_Alert_Feb_2026_WestBengal_StateLabs.pdf,high,state,active
c9cd416d-5187-44ee-bf67-b39f0ded0dff,Azithromycin Tablet,LOT26B843,Punarnava Life Sciences Ltd.,2025-06-09,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,high,central,active
f5b257ee-438d-4a7e-b040-2bc4f8ea84f9,Metformin Hydrochloride Tablet,YY6986,Vishwas Healthcare Pvt. Ltd.,2025-01-24,Friability test failure,CDSCO_NSQ_Alert_Jan_2025_Gujarat_StateLabs.pdf,high,state,active
cead1f1c-7792-460f-bf37-6fdf3413526f,Amlodipine Besylate Tablet,LOT26F885,Everwell Pharmaceuticals Pvt. Ltd.,2025-02-25,Microbial contamination / sterility test failure,CDSCO_NSQ_Alert_Feb_2025_Karnataka_StateLabs.pdf,high,state,active
5ee6e3fe-3b1b-422e-a78e-158c28eb9d1e,Amlodipine Besylate Tablet,PM4763,Crescent Healthcare Ltd.,2025-06-21,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jun_2025_Karnataka_StateLabs.pdf,medium,state,active
2dfccd9d-0344-4f9e-9109-beb4c6745e83,Atorvastatin Calcium Tablet,24101247,Greenfield Pharma Industries,2025-06-20,Content uniformity test failure,CDSCO_NSQ_Alert_Jun_2025_UttarPradesh_StateLabs.pdf,high,state,active
fae320be-a8e2-48aa-83f0-0af1f356b950,Metformin Hydrochloride Tablet,LOT25D706,Vishwas Healthcare Pvt. Ltd.,2024-07-09,Label claim mismatch with declared composition,CDSCO_NSQ_Alert_Jul_2024__CentralLabs.pdf,medium,central,active
1b3a7825-1550-4f0c-9cba-97c86ac8daa9,Ofloxacin Tablet,LOT25D980,Trishakti Healthcare Ltd.,2025-06-08,Content uniformity test failure,CDSCO_NSQ_Alert_Jun_2025__CentralLabs.pdf,high,central,active
