source_document,page,product_name,batch_number,manufacturer,mfg_date,expiry_date,reject_reasons
STATE_NSQ_June_-2025.pdf,7,Pantoprazole Sodium IP Tablets 40mg (Lepan 40),SPT-1134,Sheen Pharmaceuticals Wariana Industrial Complex-144021 Mkt by: Lebon Pharmaceuticals,Dec-24,Nov-26,manufacturer cell names several parties (manufacturer/marketer); not attributed
STATE_NSQ_June_-2025.pdf,8-9,Fluoxetine Capsules IP 20mg (Floxros-20 Capsules),SC-24286,For Maxford Healthcare by Stafford Laboratories Pvt. Ltd.,Dec-24,Nov-26,manufacturer cell names several parties (manufacturer/marketer); not attributed
STATE_NSQ_June_-2025.pdf,9,Cifdoz-500 (Ciprofloxacin Hydrochloride Tablets IP),APGT24513,Alpex Pharma Pvt. Ltd.,Jul-27,Jun-26,expiry date precedes manufacturing date
STATE_NSQ_June_-2025.pdf,9,Mecobalamin 2500mg. (NEROSAFE-XL),324-80,Mft. by Not Mentioned Mkd. By M/s Safe Care Life Sciences,Jul-24,May-26,manufacturer cell names several parties (manufacturer/marketer); not attributed
STATE_NSQ_June_-2025.pdf,10,Moxifloxacin 10% Injection (MOX-4TH GEN),SL1220-21,Mft. by Not Mentioned Mkd. By M/s Safe Care Life Sciences,Jan-24,Dec-26,manufacturer cell names several parties (manufacturer/marketer); not attributed
STATE_NSQ_June_-2025.pdf,10,Mec obalamin (Neocobal 0.5mg Tablets),7805,Pulse Pharmaceuticals (Pvt.) Ltd.,NM,Feb-26,manufacturing date does not parse ('NM')
STATE_NSQ_June_-2025.pdf,11,Leof enac-TH4 Tablets Aceclofenac & Thiocolchicoside tabets,T 2 5 - 0 5 4,. O a k s u n L i f e s c i e n c e s,F e b - 2 5,J a n - 2 7,manufacturer: character-spaced text extraction artefact
STATE_NSQ_June_-2025.pdf,11-12,PYR IL-650 Tablets Paracetamol Tablets IP 650 mg,T 2 5 . 0 3 9,. O a k s u n L i f e s c i e n c e s,F e b - 2 5,J a n - 2 7,manufacturer: character-spaced text extraction artefact
STATE_NSQ_June_-2025.pdf,12,VCE C-P Tablets Aceclofenac and Paracetamol Tablets,T G 2 4 - 2 0 2 8 C,A t h e n s L i f e S c i e n c e s M a u z a Rampur,S e p - 2 4,A u g - 2 6,manufacturer: character-spaced text extraction artefact; batch_number: character-spaced text extraction artefact
STATE_NSQ_June_-2025.pdf,14,EBD ORS(Oral Rehydration Salts IP),825220,Mfg. by- M/s Syndicate Pharma,02/2025,01/2027,manufacturer cell names several parties (manufacturer/marketer); not attributed
STATE_NSQ_MAY-2025.pdf,10,"Trypsin, Bromelain, Rutoside, Trihydrate & Diclofenac Tablets (RUMIHEAL-D)",SRTF240703B,Systole Remedies Pvt. Ltd.,Jun-24,,expiry date does not parse ('')
STATE_NSQ_MAY-2025.pdf,15,Bold enone Undecylenate Injection 400mg/ml (VEBOLDEX 400),TST2301,Thaiger Pharma,Not Mentioned,Apr-27,manufacturing date does not parse ('Not Mentioned')
STATE_NSQ_MAY-2025.pdf,16,Tren bolone Enanthate Injection 200mg/ml (FINAREX 200),TST2301,Thaiger Pharma,Not Mentioned,Apr-27,manufacturing date does not parse ('Not Mentioned')
STATE_NSQ_MAY-2025.pdf,16,Tren bolone Acetate Injection 100mg/ml... (FINEXAL 100),TST2301,Thaiger Pharma,Not Mentioned,Apr-27,manufacturing date does not parse ('Not Mentioned')
STATE_NSQ_MAY-2025.pdf,16,Stan ozolol Injection 100mg/ml (VENAJECT),TST2301,Thaiger Pharma,Not Mentioned,Apr-27,manufacturing date does not parse ('Not Mentioned')
STATE_NSQ_MAY-2025.pdf,16,Nan drolone Blend Injection 350mg/ml (DEXADUR),TST2301,Thaiger Pharma,Not Mentioned,Apr-27,manufacturing date does not parse ('Not Mentioned')
stnsqapr25.pdf,4,Ambroxol Hydrochloride Syrup,724543,By: Syndicate Pharma,Nov-24,Oct-26,manufacturer cell names several parties (manufacturer/marketer); not attributed
stnsqapr25.pdf,5,Kelan Soap(Ketoconazole Meidcated Soap),8091,Vimson Derma,Oct-26,Sep-26,expiry date precedes manufacturing date
stnsqapr25.pdf,6,Bisacodyl Tablets Ip 5mg,TA24366,Saintlife Pharmaceuticals Ltd,Jun-42,Apr-26,expiry date precedes manufacturing date
stnsqapr25.pdf,11,Mamaearth Vitamin C daily glow light moisturising cream,AM4J160,VA Life sciences,Oct-24,Use before 24 Months from the date Mfg.,expiry date does not parse ('Use before 24 Months from the date Mfg.')
stnsqapr25.pdf,12,Telmisartan Tab IP 40 mg,D0004/25-26,Kerala Medical services Corporation Limited,NIL,NIL,manufacturing date does not parse ('NIL'); expiry date does not parse ('NIL')
stnsqapr25.pdf,12,Paracetamol Tab IP 500 mg,D 0001/25-26,Kerala Medical services Corporation Limited,NIL,NIL,manufacturing date does not parse ('NIL'); expiry date does not parse ('NIL')
stnsqapr25.pdf,12,Gentamicin Inj. IP,D0003/25-26,Kerala Medical services Corporation Limited,NIL,NIL,manufacturing date does not parse ('NIL'); expiry date does not parse ('NIL')
stnsqapr25.pdf,16,Kop lyco Syrup,TL-6337,Ticoma Pharmacia E-17 Industrial Focal Point Debrabassi,Jun-23,May-23,expiry date precedes manufacturing date
STATE_NSQ_June_-2025.pdf,9,Zinc Sulphate Dispersible Tablets IP (N/A),MT14501,McW Healthcare (P) Ltd.,Apr-25,Mar-27,"duplicate of (batch, manufacturer, alert_date) already accepted"
STATE_NSQ_MAY-2025.pdf,2,Axid 200 (Sucralfate Oral Suspension),624-470,Zee Laboratories Ltd,Jun-24,May-26,"duplicate of (batch, manufacturer, alert_date) already accepted"
STATE_NSQ_MAY-2025.pdf,10,Dapagliflozin Tablets IP (DAPAWOHN),HT2406181,Helax Healthcare Private Limited,Jun-24,May-26,"duplicate of (batch, manufacturer, alert_date) already accepted"
stnsqapr25.pdf,3,"Albendazole Tablet IP 400 mg,",C25F944019,Concept Pharmaceuticals Ltdm,Jun-24,May-26,"duplicate of (batch, manufacturer, alert_date) already accepted"
