product_name,batch_number,manufacturer,alert_date,reason,source_document,lab_type,extraction_confidence,page,mfg_date,expiry_date,reported_by
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1286,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1298,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1301,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1302,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1303,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1304,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1305,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1306,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Amikacin Sulphate Injection I.P. 500 mg,24AM18,SAI Parenterals Limited,2025-04-30,Particulate matter and Description,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,2-3,10/2024,09/2026,"CDL, Kolkata"
Sucralfate & Oxetacaine Suspension (Rabeflux Suspension),RBLS-02501,Tidal Laboratories Pvt. Ltd.,2025-04-30,"Identification, Assay of Sucralfate and Assay of Oxetacaine",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,01/2025,12/2026,"CDL, Kolkata"
Iron Sucrose Injection USP 100mg/5ml,24RS15,SAI Parenterals Limited,2025-04-30,pH and Alkalinity,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,12/2024,11/2026,"CDL, Kolkata"
Iron Sucrose Injection USP 100mg/5ml,24RS03,SAI Parenterals Limited,2025-04-30,pH,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,01/2024,12/2025,"CDL, Kolkata"
Iron Sucrose Injection USP 100 mg/5ml,24RS06,SAI Parenterals Limited,2025-04-30,pH and Alkalinity,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,02/2024,01/2026,"CDL, Kolkata"
Compound Sodium Lactate Injection IP (RINGER-LACTATE SOLUTION FOR INJECTION ) (RL),1I245476,Aculife Healthcare Pvt. Ltd.,2025-04-30,Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,09/2024,08/2027,"CDL, Kolkata"
"Rifampicin, Isoniazid and Ethmbutol Hydrochloride Tablets IP",TR-820008,Centurion Remedies Pvt. Ltd.,2025-04-30,Assay of Rifampicin,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,07/2024,06/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1294,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1299,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1300,Gidsha Pharmaceuticals,2025-04-30,Dissolution (for Calcium),CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,12/2024,11/2026,"CDL, Kolkata"
Ondansetron Oral Solution I.P. 2mg/5ml,ONES-1004,Wings Biotech,2025-04-30,Related Susbtances,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,09/2024,08/2026,"CDL, Kolkata"
Gentamicin Injection IP (Gentatore Injection 80 mg/2ml),IGMG418,Regain Laboratories,2025-04-30,Particulate matter and Description,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,3,07/2024,06/2026,"CDL, Kolkata"
Teneligliptin & Metformin Hydrochloride (Sustained Release) Tablets IP (Teglisure-M 500),AOT244-00B,Astonea Labs Pvt. Ltd.,2025-04-30,Assay/content of Teneligliptin,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,4,03/2024,02/2026,"CDL, Kolkata"
Cefpodoxime Proxetil Tablets I.P. 200 mg (BREPOD-200),ST-25456,Sunvij Drugs Private Limited,2025-04-30,Dissolution,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,4,10/2024,09/2026,"CDL, Kolkata"
Rabeprazole Sodium Injection IP,MD23H19,Martin & Brown Bio Sciences,2025-04-30,"pH, Particulate matter, Clarity of Solution, Assay of Rabeprazole Sodium and Description",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,4,08/2023,07/2025,"CDL, Kolkata"
Nimesulide & Paracetamol Tablets (Somu Gold),TTX0093,Pro-pharma Care Pvt. Ltd.,2025-04-30,Dissolution,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,4,01/2024,12/2026,"RDTL, Guwahati"
Fluconazole Tablets I.P. 150 mg (Megmazole- 150 Tablets),TSF-C0116,Spen Formulations Pvt. Ltd.,2025-04-30,Assay/Content of Fluconazole,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,4,01/2024,12/2025,"RDTL, Guwahati"
Sulbactam Sodium Sterile I.P./USP.,23051901,Reyoung Pharmaceutical Co. Ltd.,2025-04-30,"""Identification and Assay/Content of Sulbactam Sodium",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,4,5/2023,04/2026,"RDTL, Guwahati"
Sulbactam Sodium Sterile I.P./USP.,23051806,Reyoung Pharmaceutical Co. Ltd.,2025-04-30,Identification and Assay/Content of Sulbactam Sodium,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,4-5,5/2023,04/2026,"RDTL, Guwahati"
Sulbactam Sodium Sterile I.P./USP.,23051903,Reyoung Pharmaceutical Co. Ltd.,2025-04-30,Identification and Assay/Content of Sulbactam Sodium,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,5,5/2023,04/2026,"RDTL, Guwahati"
Ciprofloxacin Tablets IP 250 mg (Ciprodac 250),CT24001,CADILA PHARMACEUTICALS LIMITED,2025-04-30,"Dissolution"" of Ciprofloxacin",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,5,2/2024,01/2027,"RDTL, Guwahati"
Ciprofloxacin Tablets IP 250 mg,CITB-02,NESTOR PHARMACEUTICALS LIMITED,2025-04-30,Dissolution,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,5,7/2024,06/2026,"RDTL, Guwahati"
Sulbactam Sodium Sterile I.P./USP,23051904,Reyoung Pharmaceutical Co. Ltd.,2025-04-30,Identification and Assay/Content of Sulbactam Sodium,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,5,5/2023,04/2026,"RDTL, Guwahati"
Sulbactam Sodium Sterile I.P./USP.,23051902,Reyoung Pharmaceutical Co. Ltd.,2025-04-30,Identification and Assay/Content of Sulbactam Sodium,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,5,5/2023,04/2026,"RDTL, Guwahati"
Albendazole Tablets IP 400 mg,LMT241100,Life Max Cancer Laboratories,2025-04-30,Dissolution,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,9/2024,08/2026,"RDTL, Guwahati"
"Telmisartan I.P. 40 mg, Amlodipine Besylate I.P. 5 mg Tablets",ST 211,Soham Healhcare INC,2025-04-30,"""Dissolution"" (Telmisartan and Amlodipine) and ""Assay/ content of Telmisartan and Amlodipine""",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,4/2024,03/2026,CDTL-Mumbai
Pioglitazone Hydrochloride Tablets (GLITO 15),D40292,Medley Pharmaceuticals Ltd.,2025-04-30,"""Dissolution""",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,5/2024,04/2027,CDTL-Mumbai
Glimepiride Tablets I.P. 1 mg,12801124,Karnataka Antibiotics & Pharmaceuticals Limited,2025-04-30,"""Related substances""",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,8/2024,07/2026,CDTL-Mumbai
Telmisartan & Hydrochlorothiazide Tablets IP (Telmijack-H),T-20560,Jackson Laboratories Pvt. Ltd.,2025-04-30,"""Related substances and Assay of Hydrochlorothiazi de""",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,3/2024,02/2026,CDTL-Mumbai
Sulphamethoxazole and Trimethoprim Tablets IP,MT386,Mayasha Lifesciences,2025-04-30,Dissolution of Sulphamethoxazol e,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,10/2023,09/2026,"RDTL, Chandigarh"
Levamisole & Oxyclozanide Bolus Vet. (Wormizole Bolus),EMVB-24162,Events Corporation,2025-04-30,Disintegration test,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,10/2024,09/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4979,Captab Biotec,2025-04-30,Bacterial endotoxins and Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,11/2024,10/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4987,Captab Biotec,2025-04-30,Bacterial endotoxins and Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,11/2024,10/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4983,Captab Biotec,2025-04-30,Bacterial endotoxins and Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,6,11/2024,10/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4984,Captab Biotec,2025-04-30,Bacterial endotoxins and Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,7,11/2024,10/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4985,Captab Biotec,2025-04-30,Bacterial endotoxins and Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,7,11/2024,10/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4982,Captab Biotec,2025-04-30,Bacterial endotoxins and Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,7,11/2024,10/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4978,Captab Biotec,2025-04-30,Bacterial endotoxins and Sterility,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,7,11/2024,10/2026,"RDTL, Chandigarh"
Sodium Chloride Injection IP 0.9 %w/v,LV4988,Captab Biotec,2025-04-30,"Particulate matter, Bacterial endotoxins and Sterility",CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,7,11/2024,10/2026,"RDTL, Chandigarh"
Doxycycline Capsules IP 100 mg,B240705,Bochem Healthcare Pvt. Ltd.,2025-04-30,Dissolution of Doxycycline,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,7,05/2024,04/2026,"RDTL, Chandigarh"
Levetiracetam Tablets IP 500 mg,LMT241488,Life Max Cancer Laboratories,2025-04-30,Dissolution,CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_APRIL-2025.pdf,central,medium,7,12/2024,11/2026,"CDTL, Indore"
Dextrose Injection I.P. 5%w/v (D5),1-3098,Tam-Bran Pharmaceuticals Pvt. Ltd.,2025-06-30,Assay of Dextrose (Anhydrous),CDSCO_NSQ_june25.pdf,central,medium,1,01/2025,12/2027,"CDL, Kolkata"
Dexamethasone Sodium Phosphate Injection I.P. (Dexacos),P24L220,Paksons pharmaceuticals Private Limited,2025-06-30,"Free Dexamethasone, Particulate matter and Description",CDSCO_NSQ_june25.pdf,central,medium,1,12/2024,11/2026,"CDL, Kolkata"
Methylcobalamin Injection,S4H046,Arion Healthcare,2025-06-30,"Assay of Methylcobalamin, Particulate matter and Description",CDSCO_NSQ_june25.pdf,central,medium,1,08/2024,01/2026,"CDL, Kolkata"
Tranexamic Acid Injection IP 500 mg/5ml,Z24-185,Zee Laboratories Ltd.,2025-06-30,Related Substances and Assay of Tranexamic Acid,CDSCO_NSQ_june25.pdf,central,medium,1,02/2024,01/2026,"CDL, Kolkata"
Oxytocin Injection I.P. 1ml,AOX-2402,Systochem Laboratories Ltd.,2025-06-30,Assay of Oxytocin,CDSCO_NSQ_june25.pdf,central,medium,1,04/2024,03/2026,"CDL, Kolkata"
"Calcium Aspartate, Calcium Orotate, Calcitriol Minerals And Vitamin Tablets",EZF-2107,Overseas Health Care Pvt. Ltd.,2025-06-30,"Assay of Calcitriol, Zinc, Magnesium Hydroxide and Folic Acid",CDSCO_NSQ_june25.pdf,central,medium,1,11/2024,04/2027,"CDL, Kolkata"
Ascorbic Acid Injection I.P. (Vitson-C),P25L269,Paksons Pharmaceuticals Private Limitated,2025-06-30,Particulate Matter and Description,CDSCO_NSQ_june25.pdf,central,medium,1,02/2025,01/2027,"CDL, Kolkata"
Adrenaline Injection IP (Aline Injection 1 ml.),AL-92,Aster Medicines Pvt. Ltd.,2025-06-30,Particulate Matter and Description,CDSCO_NSQ_june25.pdf,central,medium,1,02/2025,04/2026,"CDL, Kolkata"
Calcium Gluconate Injection I.P. 10 ml.,MV24B36,Martin & Brown Bio-Sciences Pvt.Ltd.,2025-06-30,"Particulate Matter, Extractable Volume and Description",CDSCO_NSQ_june25.pdf,central,medium,2,02/2024,01/2026,"CDL, Kolkata"
Rabeprazole Sodium (EC) & Domperidone (SR) Capsules (Sesarab-DSR Capsules ),CG23-0372F,Athens Life Sciences,2025-06-30,Assay of Rabeprazole Sodium,CDSCO_NSQ_june25.pdf,central,medium,2,09/2023,08/2025,"CDL, Kolkata"
Heparin Injection IP 5000 IU/ml (Flagorin),DP2143,Divine Laboratories Pvt. Ltd.,2025-06-30,pH and Assay of Heparin (Anti- factor-IIa activity),CDSCO_NSQ_june25.pdf,central,medium,2,08/2022,06/2025,"CDL, Kolkata"
Adrenaline Bitartrate Injection I.P. 1 ml (Aderson Inj.),P25L262,Paksons Pharmaceuticals Private Limited,2025-06-30,"Particulate Matter, pH and Description",CDSCO_NSQ_june25.pdf,central,medium,2,02/2025,07/2026,"CDL, Kolkata"
Methylcobalamin 1500 mcg (Nuroark),JIN24-041,Janya Biocare Pvt. Ltd.,2025-06-30,Description and Particulate Matter,CDSCO_NSQ_june25.pdf,central,medium,2,08/2024,01/2026,"CDL, Kolkata"
"Calcium Aspartate, Calcium Orotate, Calcitriol, Minerals and Vitamins Tablets",EZF-2067,Overseas Health Care Pvt. Ltd.,2025-06-30,"Assay/ Content of Folic Acid, Zinc and Magnesium Hydroxide",CDSCO_NSQ_june25.pdf,central,medium,2,10/2024,03/2027,"CDL, Kolkata"
Fosfomycin Phenyl Ethyl Amine,20240901,Shayamg Qinjiang Chemical,2025-06-30,Specific Optical Rotation,CDSCO_NSQ_june25.pdf,central,medium,2,12-09-2024,11-09- 2026,"CDL, Kolkata"
Gentamicin Injection IP (Gentacos),P24L199,Paksons Pharmaceuticals Private Limited,2025-06-30,"Sterility, Particulate Matter and Description",CDSCO_NSQ_june25.pdf,central,medium,2,12/2024,11/2026,"CDL, Kolkata"
Ketoconazole & Zinc Pyrithione Shampoo (Ketocross Shampoo),L25Y2002,Om Sai Pharma Pack,2025-06-30,A s s a y o f Z i n c Pyrithione,CDSCO_NSQ_june25.pdf,central,medium,2,03/2025,02/2027,"CDL, Kolkata"
"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit B 12)",VHI034047,Vidit Healthcare,2025-06-30,Particulate Matter and Description,CDSCO_NSQ_june25.pdf,central,medium,3,08/2024,07/2026,"CDL, Kolkata"
"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection)",IEW1433B,E.G. Pharmaceuticlas,2025-06-30,Particulate Matter and Description,CDSCO_NSQ_june25.pdf,central,medium,3,07/2024,06/2026,"CDL, Kolkata"
Rabeprazole Sodium Injection I.P.,MD23H23,Martin & Brown Bio-Sciences Pvt.Ltd.,2025-06-30,"pH, Clarity of Solution, Particulate Matter, Assay of Rabeprazole Sodium and Description",CDSCO_NSQ_june25.pdf,central,medium,3,08/2023,07/2025,"CDL, Kolkata"
Clotrimazole Ear Drops,CLT-214A,Pushkar Pharma,2025-06-30,Assay of Clotrimazole,CDSCO_NSQ_june25.pdf,central,medium,3,08/2024,07/2026,"CDL, Kolkata"
Raberpazole (EC) & Domperidone (SR) Capsules (Rabeton-DSR),SC-15114,Sunvij Drugs Private Limited,2025-06-30,Assay of Rabeprazole Sodium,CDSCO_NSQ_june25.pdf,central,medium,3,10/2024,09/2027,"CDL, Kolkata"
Telmisartan Tablets IP 40 mg,ALPT-051,Alifecare Pharmacy Pvt Ltd,2025-06-30,Dissolution of Telmisartan,CDSCO_NSQ_june25.pdf,central,medium,3,07/2024,06/2026,"CDL, Kolkata"
3% Sodium Chloride Injection USP,G25B016,Inven Pharmaceuticals Pvt. Ltd.,2025-06-30,Particulate Matter in Injections,CDSCO_NSQ_june25.pdf,central,medium,3,02/2025,01/2027,"CDL, Kolkata"
Ondansetron Injection IP (Ondson Inj.),P24L189,Paksons Pharmaceuticals Private Limited,2025-06-30,Particulate Matter and Description,CDSCO_NSQ_june25.pdf,central,medium,3,11/2024,10/2026,"CDL, Kolkata"
Sitagliptin & Metformin Tablets 50mg + 1000mg (Sitajack-M),T-2672,Jackson Laboratories Pvt.Ltd.,2025-06-30,Assay of Sitagliptin,CDSCO_NSQ_june25.pdf,central,medium,3,09/2024,08/2026,"CDL, Kolkata"
Cefotaxime Sodium Injection IP 1g,1172,Hindustan Antibiotics Ltd.,2025-06-30,Water,CDSCO_NSQ_june25.pdf,central,medium,3,08/2023,07/2025,"CDL, Kolkata"
Amikacin Sulphate Injection IP (Lamic-500 Injection ),L-24K-31H,Inmac Laboratories,2025-06-30,"Particulate Matter, Assay and Description",CDSCO_NSQ_june25.pdf,central,medium,4,11/2024,10/2026,"CDL, Kolkata"
Pantoprazole Sodium for Injection (K Pan-IV Injection),GD24L-27H,Vellinton Healthcare,2025-06-30,Sterility,CDSCO_NSQ_june25.pdf,central,medium,4,12/2024,11/2026,"CDL, Kolkata"
Pantoprazole Gasrro- Resistant and Domperidone Prolonged Release Capsules IP (Prazentasure-DSR Capsules),NC24004,Nexkem Pharmaceuticals Pvt. Ltd.,2025-06-30,Dissolution of Pantoprazole in Buffer Stage,CDSCO_NSQ_june25.pdf,central,medium,4,09/2024,08/2026,"CDL, Kolkata"
Diclofenac Sodium Injection IP (ZOR INJ.),P25L265,Paksons Pharmaceuticals Private Limited,2025-06-30,Extractable Volume,CDSCO_NSQ_june25.pdf,central,medium,4,02/2025,01/2027,"CDL, Kolkata"
Rabeprazole Sodium Injection IP,MD23H12,Martin & Brown Bio-Sciences Pvt.Ltd.,2025-06-30,"pH, Clarity of Solution, Uniformity of Weight, Particulate Matter and Assay of Rabeprazole Sodium",CDSCO_NSQ_june25.pdf,central,medium,4,08/2023,07/2025,"CDL, Kolkata"
Amoxycillin and Potassium Clavulanate Injection IP,ACP-738A,Pushkar Pharma,2025-06-30,Assay of Potassium Clavulanate equivalent to Clavulanic Acid,CDSCO_NSQ_june25.pdf,central,medium,4,09/2023,08/2025,"CDL, Kolkata"
"Methycobalamin, Calcitriol, Omega-3 Fatty Acids (EPA & DHA), Folic Acid, Boron, Calcium Carbonate Softgel Capsules (Biofil-Max Softgel Capsules )",HPDJ24170,Healthwise Pharma,2025-06-30,"Assay of Docosahexaenoic Acid,Eicosapentaen oic acid",CDSCO_NSQ_june25.pdf,central,medium,4,10/2024,09/2026,"CDL, Kolkata"
Paracetamol Intravenous Infusion (1.0% w/v ),E25B026,D.J. Laboratories Pvt. Ltd.,2025-06-30,Particulate Contamination,CDSCO_NSQ_june25.pdf,central,medium,4,02/2025,01/2028,"CDL, Kolkata"
Telmisartan Tablets IP 40 mg,TLL-504,Healers Lab,2025-06-30,Dissolution of Telmisartan,CDSCO_NSQ_june25.pdf,central,medium,4,01/2025,12/2026,"RDTL, Guwahati"
Telmisartan Tablets IP 40 mg,TLL-503,Healers Lab,2025-06-30,Dissolution of Telmisartan,CDSCO_NSQ_june25.pdf,central,medium,4,01/2025,12/2026,"RDTL, Guwahati"
Telmisartan Tablets IP (Telzasig 20),TEZC25001,Signova Healthcare Pvt. Ltd,2025-06-30,Dissolution of Telmisartan,CDSCO_NSQ_june25.pdf,central,medium,4-5,04/2025,03/2027,"RDTL, Guwahati"
Infusion Set-NV,KT-071,Medivision Healthcare,2025-06-30,Sterillity,CDSCO_NSQ_june25.pdf,central,medium,5,11/2024,10/2027,"RDTL, Guwahati"
Calcium & Vitamin D3 Tablets IP (Calciven-500),T-240267,Sunlife Sciences,2025-06-30,Assay of Vitamin D3,CDSCO_NSQ_june25.pdf,central,medium,5,06/2024,05/2026,"RDTL, Guwahati"
Pantoprazole Tablets IP 20 mg (Opipan- 20),23G-T1503,Orison Pharma International,2025-06-30,Dissolution in Acid Stage & Description,CDSCO_NSQ_june25.pdf,central,medium,5,10/2023,09/2025,"RDTL, Guwahati"
Azithromycin Tablets IP 500 mg.,AYC-2407,Apple Formulations Pvt. Ltd.,2025-06-30,Dissolution of Azithromycin,CDSCO_NSQ_june25.pdf,central,medium,5,01/2024,12/2025,"RDTL, Guwahati"
Colestyramine BP,SB43/001M/24,Phaex Polymers Private Limited,2025-06-30,Loss on drying,CDSCO_NSQ_june25.pdf,central,medium,5,07/2024,07/2029,CDTL-Mumbai
Cholestyramine Resin USP,SB45/001M/24,Phaex Polymers Private Limited,2025-06-30,Loss on drying,CDSCO_NSQ_june25.pdf,central,medium,5,07/2024,07/2029,CDTL-Mumbai
